"title","paragraph"
"",""
"Jobs","Find a job, training, hiring programs, work permits, Social Insurance Number (SIN)"
"Immigration and citizenship","Visit, work, study, immigrate, refugees, permanent residents, apply, check status"
"Travel and tourism","In Canada or abroad, advice, advisories, passports, visit Canada, events, attractions"
"Business and industry","Starting a business, permits, copyright, business support, selling to government"
"Benefits","EI, family and sickness leave, pensions, housing, student aid, disabilities, after a death"
"Health","Food, nutrition, diseases, vaccines, drugs, product safety and recalls"
"Taxes","Income tax, payroll, GST/HST,  contribution limits, tax credits, charities"
"Environment and natural resources","Weather, climate, agriculture, wildlife, pollution, conservation, fisheries"
"National security and defence","Military, transportation and cyber security, securing the border, counter-terrorism"
"Culture, history and sport","Arts, media, heritage, official languages, national identity and funding"
"Policing, justice and emergencies","Safety, justice system, prepare for emergencies, services for victims of crime"
"Transport and infrastructure","Aviation, marine, road and rail, car seat and vehicle recalls"
"Canada and the world","Foreign policy, trade agreements, development work, global issues"
"Money and finances","Personal finance, credit reports, fraud protection, paying for education"
"Science and innovation","Scientific research on health, environment and space, grants and funding"
"Indigenous peoples","Programs and services for First Nations, Inuit and M̩tis"
"Veterans","Services for current and former military, RCMP and their families"
"Youth","Programs and services for teenagers and young adults"
"Contact us","Department and agency contacts, change your address"
"Departments and agencies","A list of current government and related organizations"
"About government","How government works, its priorities, laws, finances and regulations"
"Open government","Accessible government, open information and data, open dialogue"
"",""
"Get vaccinated near you","Vaccination is one of the most effective ways to protect our families, communities and ourselves against COVID-19"
"",""
"Use ArriveCAN to enter Canada","Use ArriveCAN to provide mandatory travel information before and after your entry into Canada"
"",""
"Avoid non-essential travel outside Canada","Travellers: Avoid non-essential travel outside Canada regardless of your vaccination status"
"",""
"James Webb Space Telescope","The James Webb Space Telescope is the most complex and powerful space telescope ever built"